"id","label","gsp_id","gsp_name","gsp_group","region_name","installed_capacity_mw"
159,"GSP_158",158,"MYBS_P","MYBS_P","Mybster",1
160,"GSP_159",159,"STIR","STIR","Stirling",8
161,"GSP_160",160,"THSO_P","THSO_P","Thurso",10
162,"GSP_161",161,"ABNE_P","ABNE_P","Abernethy",15
163,"GSP_162",162,"ALNE_P","ALNE_P","Alness",1
164,"GSP_163",163,"ARBR_P","ARBR_P","Arbroath",29
165,"GSP_164",164,"ARMO_P","ARMO_P","Ardmore",2
166,"GSP_165",165,"AYRR","AYRR","Ayr",2
167,"GSP_166",166,"BAIN","BAIN","Bainsford",2
168,"GSP_167",167,"BAGA","BAGA","Bathgate",3
169,"GSP_168",168,"BEAU_P","BEAU_P","Beauly",3
170,"GSP_169",169,"BERW","BERW","Berwick",4
171,"GSP_170",170,"BOAG_P","BOAG_P","Boat of Garten",1
172,"GSP_171",171,"BONN","BONN","Bonnybridge",2
173,"GSP_172",172,"BRAC_P","BRAC_P","Braco West",6
174,"GSP_173",173,"BRAP","BRAP","Braehead Park",1
175,"GSP_174",174,"BRID_P","BRID_P","Bridge of Dun",5
176,"GSP_175",175,"BROA_P","BROA_P","Broadford",2
177,"GSP_176",176,"BROR_P","BROR_P","Brora",1
178,"GSP_177",177,"BROX","BROX","Broxburn",1
179,"GSP_178",178,"BUMU_P","BUMU_P","Burghmuir",7
180,"GSP_179",179,"CATY","CATY","Carntyne",3
181,"GSP_180",180,"CAAD_P","CAAD_P","Carradale",3
182,"GSP_181",181,"WISH","WISH","Wishaw",2
183,"GSP_182",182,"CASS_P","CASS_P","Cassley",0
184,"GSP_183",183,"CEAN_P","CEAN_P","Ceannacroc",0
185,"GSP_184",184,"CHAP","CHAP","Chapelcross",3
186,"GSP_185",185,"CHAR_P","CHAR_P","Charleston",0
187,"GSP_186",186,"CHAS","CHAS","Charlotte Street",0
188,"GSP_187",187,"CLAY_P","CLAY_P","Clayhills",0
189,"GSP_188",188,"CLYM","CLYM","Clydeâ??s Mill",2
190,"GSP_189",189,"COCK","COCK","Cockenzie",4
191,"GSP_190",190,"COYL","COYL","Coylton",3
192,"GSP_191",191,"CRAI_P","CRAI_P","Craigiebuckler",2
193,"GSP_192",192,"CUMB","CUMB","Cumbernauld",2
194,"GSP_193",193,"CUPA","CUPA","Cupar",9
195,"GSP_194",194,"CURR","CURR","Currie",1
196,"GSP_195",195,"DEVM","DEVM","Devol Moor",1
197,"GSP_196",196,"DEVO","DEVO","Devonside",13
198,"GSP_197",197,"DEWP","DEWP","Dewar Place",0
199,"GSP_198",198,"DOUN_P","DOUN_P","Dounreay",0
200,"GSP_199",199,"DRUM","DRUM","Drumchapel",1
201,"GSP_200",200,"DRCR","DRCR","Drumcross",2
202,"GSP_201",201,"DUDH_P","DUDH_P","Dudhope",2
203,"GSP_202",202,"DUNB","DUNB","Dunbar",4
204,"GSP_203",203,"DUBE_P","DUBE_P","Dunbeath",0
205,"GSP_204",204,"DUNF","DUNF","Dunfermline",2
206,"GSP_205",205,"DUNO_P","DUNO_P","Dunoon",1
207,"GSP_206",206,"DUGR_P","DUGR_P","Dunvegan",0
208,"GSP_207",207,"DYCE_P","DYCE_P","Dyce",3
209,"GSP_208",208,"EKIL","EKIL","East Kilbride",1
210,"GSP_209",209,"EKIS","EKIS","East Kilbride South",1
211,"GSP_210",210,"EERH","EERH","Easterhouse",2
212,"GSP_211",211,"ECCL","ECCL","Eccles",5
213,"GSP_212",212,"ELDE","ELDE","Elderslie",1
214,"GSP_213",213,"ELGI_P","ELGI_P","Elgin",7
215,"GSP_214",214,"ERSK","ERSK","Erskine",1
216,"GSP_215",215,"FASN_P","FASN_P","Fasnakyle",0
217,"GSP_216",216,"FIDD_P","FIDD_P","Fiddes",1
218,"GSP_217",217,"FRAS_P","FRAS_P","Fraserburgh",13
219,"GSP_218",218,"FAUG_P","FAUG_P","Fort Augustus",0
220,"GSP_219",219,"FWIL_P","FWIL_P","Fort William",1
221,"GSP_220",220,"GALA","GALA","Galashiels",5
222,"GSP_221",221,"GIFF","GIFF","Giffnock",1
223,"GSP_222",222,"GLAG_P","GLAG_P","Glenagnes",0
224,"GSP_223",223,"GLNI","GLNI","Glenniston",0
225,"GSP_224",224,"GLLU","GLLU","Glenluce",1
226,"GSP_225",225,"GLRO","GLRO","Glenrothes",5
227,"GSP_226",226,"GORG","GORG","Gorgie",0
228,"GSP_227",227,"GOVA","GOVA","Govan",1
229,"GSP_228",228,"GRUB_P","GRUB_P","Grudie Bridge",0
230,"GSP_229",229,"HAGR","HAGR","Haggs Road",0
231,"GSP_230",230,"HAWI","HAWI","Hawick",2
232,"GSP_231",231,"HELE","HELE","Helensburgh",1
233,"GSP_232",232,"HUER","HUER","Hunterston Farm",1
234,"GSP_233",233,"INKE","INKE","Inverkeithing",3
235,"GSP_234",234,"INNE_P","INNE_P","Inverness",5
236,"GSP_235",235,"JOHN","JOHN","Johnstone",2
237,"GSP_236",236,"KAIM","KAIM","Kaimes",5
238,"GSP_237",237,"KEIT_P","KEIT_P","Keith",3
239,"GSP_238",238,"KIIN_P","KIIN_P","Killin",0
240,"GSP_239",239,"KIER","KIER","Killermont",0
241,"GSP_240",240,"KILS","KILS","Kilmarnock South",0
242,"GSP_241",241,"KILT","KILT","Kilmarnock Town",3
243,"GSP_242",242,"KILW","KILW","Kilwinning",3
244,"GSP_243",243,"KINL_P","KINL_P","Kinlochleven",0
245,"GSP_244",244,"KINT_P","KINT_P","Kintore",13
246,"GSP_245",245,"LAIR_P","LAIR_P","Lairg",0
247,"GSP_246",246,"LEVE","LEVE","Leven",1
248,"GSP_247",247,"LINM","LINM","Linnmill",5
249,"GSP_248",248,"LING","LING","Livingston East",2
250,"GSP_249",249,"LUNA_P","LUNA_P","Lunanhead",15
251,"GSP_250",250,"LYND_P","LYND_P","Lyndhurst",2
252,"GSP_251",251,"MAYB","MAYB","Maybole",1
253,"GSP_252",252,"MILC_P","MILC_P","Milton of Craigie",3
254,"GSP_253",253,"NAIR_P","NAIR_P","Nairn",3
255,"GSP_254",254,"NEAR","NEAR","Newarthill",3
256,"GSP_255",255,"NETS","NETS","Newton Stewart",1
